1 4 || 05 | 05 | 1
3 9 || 0c | 0c | 1
d d || 1a | 1a | 1
2 5 || 07 | 07 | 1
d 1 || 0e | 0e | 1
d 6 || 13 | 13 | 1
c d || 19 | 19 | 1
6 9 || 0f | 0f | 1
a 5 || 0f | 0f | 1
7 5 || 0c | 0c | 1
f 2 || 11 | 11 | 1
e 2 || 10 | 10 | 1
5 8 || 0d | 0d | 1
d c || 19 | 19 | 1
5 d || 12 | 12 | 1
a 3 || 0d | 0d | 1
0 0 || 00 | 00 | 1
d a || 17 | 17 | 1
3 6 || 09 | 09 | 1
3 d || 10 | 10 | 1
5 b || 10 | 10 | 1
e 2 || 10 | 10 | 1
f d || 1c | 1c | 1
a 3 || 0d | 0d | 1
c a || 16 | 16 | 1
a 2 || 0c | 0c | 1
8 1 || 09 | 09 | 1
9 8 || 11 | 11 | 1
6 b || 11 | 11 | 1
e 6 || 14 | 14 | 1
a c || 16 | 16 | 1
1 b || 0c | 0c | 1
f 5 || 14 | 14 | 1
a b || 15 | 15 | 1
5 e || 13 | 13 | 1
9 1 || 0a | 0a | 1
c 2 || 0e | 0e | 1
f f || 1e | 1e | 1
7 8 || 0f | 0f | 1
c f || 1b | 1b | 1
9 b || 14 | 14 | 1
0 9 || 09 | 09 | 1
1 7 || 08 | 08 | 1
c 6 || 12 | 12 | 1
8 2 || 0a | 0a | 1
d 7 || 14 | 14 | 1
e 2 || 10 | 10 | 1
9 d || 16 | 16 | 1
3 f || 12 | 12 | 1
8 5 || 0d | 0d | 1
9 b || 14 | 14 | 1
a f || 19 | 19 | 1
6 8 || 0e | 0e | 1
c e || 1a | 1a | 1
6 a || 10 | 10 | 1
3 3 || 06 | 06 | 1
3 f || 12 | 12 | 1
4 f || 13 | 13 | 1
b 7 || 12 | 12 | 1
a 6 || 10 | 10 | 1
d 9 || 16 | 16 | 1
5 a || 0f | 0f | 1
f 5 || 14 | 14 | 1
4 9 || 0d | 0d | 1
a 0 || 0a | 0a | 1
e b || 19 | 19 | 1
a c || 16 | 16 | 1
3 d || 10 | 10 | 1
e 6 || 14 | 14 | 1
a 7 || 11 | 11 | 1
8 6 || 0e | 0e | 1
8 9 || 11 | 11 | 1
3 4 || 07 | 07 | 1
9 4 || 0d | 0d | 1
d b || 18 | 18 | 1
d 9 || 16 | 16 | 1
a 6 || 10 | 10 | 1
5 6 || 0b | 0b | 1
4 6 || 0a | 0a | 1
9 7 || 10 | 10 | 1
8 4 || 0c | 0c | 1
d 8 || 15 | 15 | 1
e 7 || 15 | 15 | 1
c 8 || 14 | 14 | 1
9 d || 16 | 16 | 1
6 c || 12 | 12 | 1
d a || 17 | 17 | 1
0 6 || 06 | 06 | 1
a 3 || 0d | 0d | 1
a e || 18 | 18 | 1
a 5 || 0f | 0f | 1
7 9 || 10 | 10 | 1
0 6 || 06 | 06 | 1
6 6 || 0c | 0c | 1
c d || 19 | 19 | 1
8 6 || 0e | 0e | 1
b e || 19 | 19 | 1
9 f || 18 | 18 | 1
1 a || 0b | 0b | 1
1 7 || 08 | 08 | 1
0 6 || 06 | 06 | 1
5 5 || 0a | 0a | 1
1 9 || 0a | 0a | 1
8 5 || 0d | 0d | 1
3 b || 0e | 0e | 1
a c || 16 | 16 | 1
8 e || 16 | 16 | 1
1 9 || 0a | 0a | 1
6 e || 14 | 14 | 1
a f || 19 | 19 | 1
d a || 17 | 17 | 1
8 e || 16 | 16 | 1
8 9 || 11 | 11 | 1
3 a || 0d | 0d | 1
7 b || 12 | 12 | 1
a 6 || 10 | 10 | 1
9 4 || 0d | 0d | 1
4 2 || 06 | 06 | 1
6 f || 15 | 15 | 1
2 a || 0c | 0c | 1
d 2 || 0f | 0f | 1
4 4 || 08 | 08 | 1
9 a || 13 | 13 | 1
e 1 || 0f | 0f | 1
b b || 16 | 16 | 1
9 f || 18 | 18 | 1
5 6 || 0b | 0b | 1
b f || 1a | 1a | 1
e 8 || 16 | 16 | 1
2 b || 0d | 0d | 1
d 8 || 15 | 15 | 1
2 b || 0d | 0d | 1
d e || 1b | 1b | 1
8 c || 14 | 14 | 1
6 1 || 07 | 07 | 1
b 1 || 0c | 0c | 1
3 8 || 0b | 0b | 1
b 6 || 11 | 11 | 1
4 2 || 06 | 06 | 1
8 3 || 0b | 0b | 1
8 2 || 0a | 0a | 1
5 9 || 0e | 0e | 1
b 1 || 0c | 0c | 1
8 1 || 09 | 09 | 1
1 7 || 08 | 08 | 1
4 f || 13 | 13 | 1
6 8 || 0e | 0e | 1
2 4 || 06 | 06 | 1
1 6 || 07 | 07 | 1
d 5 || 12 | 12 | 1
5 b || 10 | 10 | 1
7 d || 14 | 14 | 1
7 4 || 0b | 0b | 1
9 7 || 10 | 10 | 1
b 9 || 14 | 14 | 1
1 9 || 0a | 0a | 1
a 1 || 0b | 0b | 1
5 a || 0f | 0f | 1
c 3 || 0f | 0f | 1
e 2 || 10 | 10 | 1
f 8 || 17 | 17 | 1
0 6 || 06 | 06 | 1
0 8 || 08 | 08 | 1
6 8 || 0e | 0e | 1
0 5 || 05 | 05 | 1
9 4 || 0d | 0d | 1
c 0 || 0c | 0c | 1
2 a || 0c | 0c | 1
1 5 || 06 | 06 | 1
3 7 || 0a | 0a | 1
6 9 || 0f | 0f | 1
1 5 || 06 | 06 | 1
a d || 17 | 17 | 1
c 7 || 13 | 13 | 1
